,Price,author,bookName,peapleNum,pubTime,publishing,score,level,hotlevel
98,20.00,（日）东野圭吾,放学后,98776,2010-1,南海出版公司,7.6,B,A
99,,艾琳娜.斐蘭德,那不勒斯故事四部曲,4201,,,9.2,A,D
100,22.00元,[英] J. K. 罗琳,哈利·波特与密室,97158,2000-9,人民文学出版社,8.9,B,A
101,34.80元,囧囧有妖,君子报恩,1488,2017-9,民主与建设出版社,7.9,B,E
102,26.80元,（挪威）乔斯坦·贾德,苏菲的世界,83966,1999-04,作家出版社,8.5,B,A
103,358.20元,当年明月,明朝那些事儿（1-9）,52180,2009-4,中国海关出版社,9.1,A,A
104,49.00元,[美] 约翰·威廉斯,斯通纳,22894,2016-1,上海人民出版社,8.8,B,B
105,47.20元,吴承恩,西游记（全二册）,34170,2004-8,人民文学出版社,8.8,B,A
106,55,八月长安,最好的我们,33285,2013-8-5,湖南文艺出版社,8.8,B,A
107,45,[瑞典] 弗雷德里克·巴克曼,熊镇,3026,2018-12,四川文艺出版社,8.1,B,D
108,18.00元,[英]毛姆,刀锋,39639,2007-3,上海译文出版社,9.0,B,A
109,36.00元,[日] 村上春树,1Q84 BOOK 1,95958,2010-5,南海出版公司,8.3,B,A
110,50.60元,[明] 施耐庵、罗贯中,水浒传（全二册）,36087,1997-1,人民文学出版社,8.5,B,A
111,19.00,萧红,呼兰河传,32466,2005-01,百花文艺出版社,8.9,B,A
112,24.00元,余华,许三观卖血记,27956,2012-9,作家出版社,8.9,B,B
113,59.00元,[英] J. K. 罗琳,哈利·波特与凤凰社,81491,2003-9,人民文学出版社,8.7,B,A
114,28.00元,张爱玲,半生缘,50965,2006-12,北京十月文艺出版社,8.6,B,A
115,35.00元,[瑞典] 弗雷德里克·巴克曼,一个叫欧维的男人决定去死,19931,2015-12,四川文艺出版社,9.0,B,B
116,43.00元,余华,兄弟,13958,2012-9-1,作家出版社,8.5,B,B
117,18.00元,[日] 岩井俊二,情书,64746,2004-7,天津人民出版社,8.6,B,A
118,39.80元,唐七公子,华胥引（全二册）,53277,2011-1,现代出版社,8.4,B,A
119,28.0,匪我思存,东宫,24036,2010-07,新世界出版社,7.3,B,B
120,68.00元,[英] 阿·柯南道尔,福尔摩斯探案全集（上中下）,64659,53.00元,1981-8,9.2,A,A
121,29.50元,余华,第七天,42826,2013-6,新星出版社,6.8,C,A
